id,node1,node2,node_size,link_strength,node_category,detail
19,8,16,9,0.7,4,"Person Id: 8; Gender: Female; Age: 25; Race: European/Caucasian-American; Field of Study: Political Science/International Affairs; Career: Creative Arts/EntertainmentHobby: dining,clubbing,tv"
20,8,18,9,0.7,4,"Person Id: 8; Gender: Female; Age: 25; Race: European/Caucasian-American; Field of Study: Political Science/International Affairs; Career: Creative Arts/EntertainmentHobby: dining,clubbing,tv"
21,8,19,9,0.8,4,"Person Id: 8; Gender: Female; Age: 25; Race: European/Caucasian-American; Field of Study: Political Science/International Affairs; Career: Creative Arts/EntertainmentHobby: dining,clubbing,tv"
22,8,20,9,0.8,4,"Person Id: 8; Gender: Female; Age: 25; Race: European/Caucasian-American; Field of Study: Political Science/International Affairs; Career: Creative Arts/EntertainmentHobby: dining,clubbing,tv"
23,9,12,8,0.8,6,"Person Id: 9; Gender: Female; Age: 26; Race: Other; Field of Study: Political Science/International Affairs; Career: International/Humanitarian AffairsHobby: clubbing,theater,movies"
24,9,13,8,1,6,"Person Id: 9; Gender: Female; Age: 26; Race: Other; Field of Study: Political Science/International Affairs; Career: International/Humanitarian AffairsHobby: clubbing,theater,movies"
25,9,14,8,0.7,6,"Person Id: 9; Gender: Female; Age: 26; Race: Other; Field of Study: Political Science/International Affairs; Career: International/Humanitarian AffairsHobby: clubbing,theater,movies"
26,9,15,8,0.7,6,"Person Id: 9; Gender: Female; Age: 26; Race: Other; Field of Study: Political Science/International Affairs; Career: International/Humanitarian AffairsHobby: clubbing,theater,movies"
27,9,16,8,0.6,6,"Person Id: 9; Gender: Female; Age: 26; Race: Other; Field of Study: Political Science/International Affairs; Career: International/Humanitarian AffairsHobby: clubbing,theater,movies"
28,9,17,8,0.8,6,"Person Id: 9; Gender: Female; Age: 26; Race: Other; Field of Study: Political Science/International Affairs; Career: International/Humanitarian AffairsHobby: clubbing,theater,movies"
29,9,19,8,0.6,6,"Person Id: 9; Gender: Female; Age: 26; Race: Other; Field of Study: Political Science/International Affairs; Career: International/Humanitarian AffairsHobby: clubbing,theater,movies"
30,10,13,3,1,4,Person Id: 10; Gender: Female; Age: 26; Race: European/Caucasian-American; Field of Study: Political Science/International Affairs; Career: International/Humanitarian AffairsHobby: NA
31,10,19,3,0.7,4,Person Id: 10; Gender: Female; Age: 26; Race: European/Caucasian-American; Field of Study: Political Science/International Affairs; Career: International/Humanitarian AffairsHobby: NA
32,22,44,3,0.6,3,"Person Id: 22; Gender: Female; Age: 27; Race: Black/African American; Field of Study: Education, Academia; Career: EngineerHobby: NA"
33,22,45,3,0.6,3,"Person Id: 22; Gender: Female; Age: 27; Race: Black/African American; Field of Study: Education, Academia; Career: EngineerHobby: NA"
34,23,43,4,0.6,2,"Person Id: 23; Gender: Female; Age: 21; Race: Asian/Pacific Islander/Asian-American; Field of Study: Social Science, Psychologist; Career: PsychologistHobby: reading,theater,movies,concerts,music,shopping"
35,23,44,4,0.8,2,"Person Id: 23; Gender: Female; Age: 21; Race: Asian/Pacific Islander/Asian-American; Field of Study: Social Science, Psychologist; Career: PsychologistHobby: reading,theater,movies,concerts,music,shopping"
36,23,45,4,0.7,2,"Person Id: 23; Gender: Female; Age: 21; Race: Asian/Pacific Islander/Asian-American; Field of Study: Social Science, Psychologist; Career: PsychologistHobby: reading,theater,movies,concerts,music,shopping"
37,27,46,3,0.95,5,"Person Id: 27; Gender: Female; Age: 22; Race: Latino/Hispanic American; Field of Study: Social Science, Psychologist; Career: International/Humanitarian AffairsHobby: NA"
38,27,50,3,0.8,5,"Person Id: 27; Gender: Female; Age: 22; Race: Latino/Hispanic American; Field of Study: Social Science, Psychologist; Career: International/Humanitarian AffairsHobby: NA"
39,28,46,2,0.8,4,"Person Id: 28; Gender: Female; Age: 26; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: UnknownHobby: NA"
40,29,44,3,0.7,4,Person Id: 29; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Work; Career: International/Humanitarian AffairsHobby: NA
41,29,45,3,0.7,4,Person Id: 29; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Work; Career: International/Humanitarian AffairsHobby: NA
42,30,49,3,0.7,4,Person Id: 30; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Law; Career: LawyerHobby: NA
43,30,55,3,0.8,4,Person Id: 30; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Law; Career: LawyerHobby: NA
44,31,48,5,0.8,4,"Person Id: 31; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: Law; Career: LawyerHobby: dining,shopping"
45,31,49,5,0.8,4,"Person Id: 31; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: Law; Career: LawyerHobby: dining,shopping"
46,31,50,5,0.7,4,"Person Id: 31; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: Law; Career: LawyerHobby: dining,shopping"
47,31,55,5,1,4,"Person Id: 31; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: Law; Career: LawyerHobby: dining,shopping"
48,34,46,3,0.8,2,Person Id: 34; Gender: Female; Age: 21; Race: Asian/Pacific Islander/Asian-American; Field of Study: Business/Econ/Finance; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: movies
49,34,49,3,0.6,2,Person Id: 34; Gender: Female; Age: 21; Race: Asian/Pacific Islander/Asian-American; Field of Study: Business/Econ/Finance; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: movies
50,35,45,6,0.7,4,Person Id: 35; Gender: Female; Age: 25; Race: European/Caucasian-American; Field of Study: Math; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: NA
51,35,46,6,0.8,4,Person Id: 35; Gender: Female; Age: 25; Race: European/Caucasian-American; Field of Study: Math; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: NA
52,35,49,6,0.7,4,Person Id: 35; Gender: Female; Age: 25; Race: European/Caucasian-American; Field of Study: Math; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: NA
53,35,50,6,0.7,4,Person Id: 35; Gender: Female; Age: 25; Race: European/Caucasian-American; Field of Study: Math; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: NA
54,35,53,6,0.8,4,Person Id: 35; Gender: Female; Age: 25; Race: European/Caucasian-American; Field of Study: Math; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: NA
55,36,49,3,0.8,4,Person Id: 36; Gender: Female; Age: 26; Race: European/Caucasian-American; Field of Study: Math; Career: Doctor/MedicineHobby: NA
56,36,51,3,0.5,4,Person Id: 36; Gender: Female; Age: 26; Race: European/Caucasian-American; Field of Study: Math; Career: Doctor/MedicineHobby: NA
57,37,44,3,0.6,4,"Person Id: 37; Gender: Female; Age: 27; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: dining,theater"
58,37,52,3,0.6,4,"Person Id: 37; Gender: Female; Age: 27; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: dining,theater"
59,38,49,4,0.8,3,"Person Id: 38; Gender: Female; Age: 23; Race: Black/African American; Field of Study: Law; Career: LawyerHobby: dining,movies,concerts,music,shopping"
60,38,50,4,0.7,3,"Person Id: 38; Gender: Female; Age: 23; Race: Black/African American; Field of Study: Law; Career: LawyerHobby: dining,movies,concerts,music,shopping"
61,38,55,4,1,3,"Person Id: 38; Gender: Female; Age: 23; Race: Black/African American; Field of Study: Law; Career: LawyerHobby: dining,movies,concerts,music,shopping"
62,39,47,2,0.5,5,"Person Id: 39; Gender: Female; Age: 24; Race: Latino/Hispanic American; Field of Study: Law; Career: LawyerHobby: dining,museums,reading,movies,shopping"
63,56,69,3,0.6,4,"Person Id: 56; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Social Work; Career: International/Humanitarian AffairsHobby: exercise,dining,shopping"
64,56,70,3,0.8,4,"Person Id: 56; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Social Work; Career: International/Humanitarian AffairsHobby: exercise,dining,shopping"
65,57,71,2,0.9,4,Person Id: 57; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Work; Career: International/Humanitarian AffairsHobby: NA
66,58,71,3,0.6,1,Person Id: 58; Gender: Female; Age: Unknown; Race: Unknown; Field of Study: Unknown; Career: UnknownHobby: NA
67,58,74,3,0.7,1,Person Id: 58; Gender: Female; Age: Unknown; Race: Unknown; Field of Study: Unknown; Career: UnknownHobby: NA
68,60,66,2,0.6,6,"Person Id: 60; Gender: Female; Age: 29; Race: Other; Field of Study: Social Science, Psychologist; Career: Creative Arts/EntertainmentHobby: theater"
69,61,71,3,0.8,4,"Person Id: 61; Gender: Female; Age: 28; Race: European/Caucasian-American; Field of Study: History/Religion/Philosophy; Career: Academic/ResearchHobby: dining,museums,art,reading,theater,movies,music"
70,61,75,3,0.6,4,"Person Id: 61; Gender: Female; Age: 28; Race: European/Caucasian-American; Field of Study: History/Religion/Philosophy; Career: Academic/ResearchHobby: dining,museums,art,reading,theater,movies,music"
71,62,67,4,1,5,Person Id: 62; Gender: Female; Age: 26; Race: Latino/Hispanic American; Field of Study: Law; Career: LawyerHobby: NA
72,62,69,4,0.7,5,Person Id: 62; Gender: Female; Age: 26; Race: Latino/Hispanic American; Field of Study: Law; Career: LawyerHobby: NA
73,62,74,4,0.9,5,Person Id: 62; Gender: Female; Age: 26; Race: Latino/Hispanic American; Field of Study: Law; Career: LawyerHobby: NA
74,63,67,2,0.5,2,Person Id: 63; Gender: Female; Age: 24; Race: Asian/Pacific Islander/Asian-American; Field of Study: Law; Career: UndecidedHobby: reading
75,64,75,2,0.6,2,Person Id: 64; Gender: Female; Age: 27; Race: Asian/Pacific Islander/Asian-American; Field of Study: Social Work; Career: International/Humanitarian AffairsHobby: NA
76,76,94,6,0.7,4,Person Id: 76; Gender: Female; Age: 34; Race: European/Caucasian-American; Field of Study: English/Creative Writing/ Journalism; Career: Academic/ResearchHobby: NA
77,76,105,6,0.7,4,Person Id: 76; Gender: Female; Age: 34; Race: European/Caucasian-American; Field of Study: English/Creative Writing/ Journalism; Career: Academic/ResearchHobby: NA
78,76,107,6,0.9,4,Person Id: 76; Gender: Female; Age: 34; Race: European/Caucasian-American; Field of Study: English/Creative Writing/ Journalism; Career: Academic/ResearchHobby: NA
79,76,109,6,0.8,4,Person Id: 76; Gender: Female; Age: 34; Race: European/Caucasian-American; Field of Study: English/Creative Writing/ Journalism; Career: Academic/ResearchHobby: NA
80,76,110,6,0.7,4,Person Id: 76; Gender: Female; Age: 34; Race: European/Caucasian-American; Field of Study: English/Creative Writing/ Journalism; Career: Academic/ResearchHobby: NA
81,77,94,7,0.7,4,"Person Id: 77; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Work; Career: Social WorkHobby: exercise,concerts,music"
82,77,97,7,0.6,4,"Person Id: 77; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Work; Career: Social WorkHobby: exercise,concerts,music"
83,77,98,7,1,4,"Person Id: 77; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Work; Career: Social WorkHobby: exercise,concerts,music"
84,77,99,7,0.8,4,"Person Id: 77; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Work; Career: Social WorkHobby: exercise,concerts,music"
85,77,105,7,0.7,4,"Person Id: 77; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Work; Career: Social WorkHobby: exercise,concerts,music"
86,77,107,7,0.65,4,"Person Id: 77; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Work; Career: Social WorkHobby: exercise,concerts,music"
87,78,106,4,0.8,5,Person Id: 78; Gender: Female; Age: 23; Race: Latino/Hispanic American; Field of Study: Social Work; Career: Social WorkHobby: yoga
88,78,107,4,0.55,5,Person Id: 78; Gender: Female; Age: 23; Race: Latino/Hispanic American; Field of Study: Social Work; Career: Social WorkHobby: yoga
89,78,109,4,0.7,5,Person Id: 78; Gender: Female; Age: 23; Race: Latino/Hispanic American; Field of Study: Social Work; Career: Social WorkHobby: yoga
90,79,104,4,0.8,2,"Person Id: 79; Gender: Female; Age: 26; Race: Asian/Pacific Islander/Asian-American; Field of Study: Engineering; Career: EngineerHobby: dining,museums,art"
91,79,107,4,0.6,2,"Person Id: 79; Gender: Female; Age: 26; Race: Asian/Pacific Islander/Asian-American; Field of Study: Engineering; Career: EngineerHobby: dining,museums,art"
92,79,108,4,0.7,2,"Person Id: 79; Gender: Female; Age: 26; Race: Asian/Pacific Islander/Asian-American; Field of Study: Engineering; Career: EngineerHobby: dining,museums,art"
93,80,102,4,1,2,Person Id: 80; Gender: Female; Age: 27; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: reading
94,80,105,4,0.5,2,Person Id: 80; Gender: Female; Age: 27; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: reading
95,80,109,4,0.7,2,Person Id: 80; Gender: Female; Age: 27; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Academic/ResearchHobby: reading
96,81,99,4,0.9,4,Person Id: 81; Gender: Female; Age: 28; Race: European/Caucasian-American; Field of Study: English/Creative Writing/ Journalism; Career: Creative Arts/EntertainmentHobby: NA
97,81,104,4,0.8,4,Person Id: 81; Gender: Female; Age: 28; Race: European/Caucasian-American; Field of Study: English/Creative Writing/ Journalism; Career: Creative Arts/EntertainmentHobby: NA
98,81,108,4,0.7,4,Person Id: 81; Gender: Female; Age: 28; Race: European/Caucasian-American; Field of Study: English/Creative Writing/ Journalism; Career: Creative Arts/EntertainmentHobby: NA
99,82,94,6,0.8,6,"Person Id: 82; Gender: Female; Age: 25; Race: Other; Field of Study: Education, Academia; Career: Academic/ResearchHobby: art"
100,82,99,6,0.8,6,"Person Id: 82; Gender: Female; Age: 25; Race: Other; Field of Study: Education, Academia; Career: Academic/ResearchHobby: art"
101,82,105,6,0.7,6,"Person Id: 82; Gender: Female; Age: 25; Race: Other; Field of Study: Education, Academia; Career: Academic/ResearchHobby: art"
102,82,107,6,0.85,6,"Person Id: 82; Gender: Female; Age: 25; Race: Other; Field of Study: Education, Academia; Career: Academic/ResearchHobby: art"
103,82,109,6,0.8,6,"Person Id: 82; Gender: Female; Age: 25; Race: Other; Field of Study: Education, Academia; Career: Academic/ResearchHobby: art"
104,83,99,3,0.9,5,Person Id: 83; Gender: Female; Age: 35; Race: Latino/Hispanic American; Field of Study: Business/Econ/Finance; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: NA
105,83,107,3,0.8,5,Person Id: 83; Gender: Female; Age: 35; Race: Latino/Hispanic American; Field of Study: Business/Econ/Finance; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: NA
106,84,105,3,0.6,5,Person Id: 84; Gender: Female; Age: 32; Race: Latino/Hispanic American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Doctor/MedicineHobby: movies
107,84,108,3,0.7,5,Person Id: 84; Gender: Female; Age: 32; Race: Latino/Hispanic American; Field of Study: Biological Sciences/Chemistry/Physics; Career: Doctor/MedicineHobby: movies
108,85,107,2,0.7,4,Person Id: 85; Gender: Female; Age: 30; Race: European/Caucasian-American; Field of Study: Social Work; Career: International/Humanitarian AffairsHobby: NA
109,86,97,9,0.7,4,"Person Id: 86; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: movies,concerts,music"
110,86,100,9,0.8,4,"Person Id: 86; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: movies,concerts,music"
111,86,104,9,0.7,4,"Person Id: 86; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: movies,concerts,music"
112,86,105,9,0.7,4,"Person Id: 86; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: movies,concerts,music"
113,86,107,9,0.8,4,"Person Id: 86; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: movies,concerts,music"
114,86,108,9,0.8,4,"Person Id: 86; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: movies,concerts,music"
115,86,109,9,0.7,4,"Person Id: 86; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: movies,concerts,music"
116,86,110,9,0.8,4,"Person Id: 86; Gender: Female; Age: 22; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: Academic/ResearchHobby: movies,concerts,music"
117,87,99,3,0.8,4,"Person Id: 87; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Social Work; Career: International/Humanitarian AffairsHobby: sports,exercise,movies,music"
118,87,107,3,0.8,4,"Person Id: 87; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Social Work; Career: International/Humanitarian AffairsHobby: sports,exercise,movies,music"
119,89,99,3,0.9,4,Person Id: 89; Gender: Female; Age: 27; Race: European/Caucasian-American; Field of Study: Business/Econ/Finance; Career: Academic/ResearchHobby: dining
120,89,104,3,0.7,4,Person Id: 89; Gender: Female; Age: 27; Race: European/Caucasian-American; Field of Study: Business/Econ/Finance; Career: Academic/ResearchHobby: dining
121,90,109,2,0.5,2,Person Id: 90; Gender: Female; Age: 23; Race: Asian/Pacific Islander/Asian-American; Field of Study: Biological Sciences/Chemistry/Physics; Career: UndecidedHobby: reading
122,91,97,9,0.8,6,Person Id: 91; Gender: Female; Age: 25; Race: Other; Field of Study: Law; Career: LawyerHobby: theater
123,91,99,9,0.9,6,Person Id: 91; Gender: Female; Age: 25; Race: Other; Field of Study: Law; Career: LawyerHobby: theater
124,91,103,9,0.8,6,Person Id: 91; Gender: Female; Age: 25; Race: Other; Field of Study: Law; Career: LawyerHobby: theater
125,91,105,9,0.8,6,Person Id: 91; Gender: Female; Age: 25; Race: Other; Field of Study: Law; Career: LawyerHobby: theater
126,91,106,9,1,6,Person Id: 91; Gender: Female; Age: 25; Race: Other; Field of Study: Law; Career: LawyerHobby: theater
127,91,107,9,0.9,6,Person Id: 91; Gender: Female; Age: 25; Race: Other; Field of Study: Law; Career: LawyerHobby: theater
128,91,109,9,0.7,6,Person Id: 91; Gender: Female; Age: 25; Race: Other; Field of Study: Law; Career: LawyerHobby: theater
129,91,110,9,0.6,6,Person Id: 91; Gender: Female; Age: 25; Race: Other; Field of Study: Law; Career: LawyerHobby: theater
130,92,97,8,0.6,4,"Person Id: 92; Gender: Female; Age: 29; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: dining,reading,theater,movies,music"
131,92,98,8,1,4,"Person Id: 92; Gender: Female; Age: 29; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: dining,reading,theater,movies,music"
132,92,99,8,0.8,4,"Person Id: 92; Gender: Female; Age: 29; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: dining,reading,theater,movies,music"
133,92,105,8,0.7,4,"Person Id: 92; Gender: Female; Age: 29; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: dining,reading,theater,movies,music"
134,92,107,8,0.8,4,"Person Id: 92; Gender: Female; Age: 29; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: dining,reading,theater,movies,music"
135,92,109,8,0.8,4,"Person Id: 92; Gender: Female; Age: 29; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: dining,reading,theater,movies,music"
136,92,110,8,0.7,4,"Person Id: 92; Gender: Female; Age: 29; Race: European/Caucasian-American; Field of Study: Education, Academia; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: dining,reading,theater,movies,music"
137,93,95,5,0.6,4,Person Id: 93; Gender: Female; Age: 29; Race: European/Caucasian-American; Field of Study: Engineering; Career: Academic/ResearchHobby: dining
138,93,97,5,0.7,4,Person Id: 93; Gender: Female; Age: 29; Race: European/Caucasian-American; Field of Study: Engineering; Career: Academic/ResearchHobby: dining
139,93,100,5,0.8,4,Person Id: 93; Gender: Female; Age: 29; Race: European/Caucasian-American; Field of Study: Engineering; Career: Academic/ResearchHobby: dining
140,93,104,5,0.7,4,Person Id: 93; Gender: Female; Age: 29; Race: European/Caucasian-American; Field of Study: Engineering; Career: Academic/ResearchHobby: dining
141,112,122,7,0.9,6,"Person Id: 112; Gender: Female; Age: 20; Race: Other; Field of Study: Social Science, Psychologist; Career: Social WorkHobby: music"
142,112,125,7,0.8,6,"Person Id: 112; Gender: Female; Age: 20; Race: Other; Field of Study: Social Science, Psychologist; Career: Social WorkHobby: music"
143,112,126,7,0.6,6,"Person Id: 112; Gender: Female; Age: 20; Race: Other; Field of Study: Social Science, Psychologist; Career: Social WorkHobby: music"
144,112,127,7,1,6,"Person Id: 112; Gender: Female; Age: 20; Race: Other; Field of Study: Social Science, Psychologist; Career: Social WorkHobby: music"
145,112,128,7,0.9,6,"Person Id: 112; Gender: Female; Age: 20; Race: Other; Field of Study: Social Science, Psychologist; Career: Social WorkHobby: music"
146,112,129,7,0.8,6,"Person Id: 112; Gender: Female; Age: 20; Race: Other; Field of Study: Social Science, Psychologist; Career: Social WorkHobby: music"
147,113,125,4,0.7,4,"Person Id: 113; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Business/Econ/Finance; Career: UndecidedHobby: dining,theater,movies,music,shopping"
148,113,126,4,0.7,4,"Person Id: 113; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Business/Econ/Finance; Career: UndecidedHobby: dining,theater,movies,music,shopping"
149,113,128,4,0.7,4,"Person Id: 113; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Business/Econ/Finance; Career: UndecidedHobby: dining,theater,movies,music,shopping"
150,114,128,2,0.7,3,Person Id: 114; Gender: Female; Age: 20; Race: Black/African American; Field of Study: Business/Econ/Finance; Career: UnknownHobby: NA
151,115,125,4,1,4,"Person Id: 115; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: PsychologistHobby: reading"
152,115,127,4,0.7,4,"Person Id: 115; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: PsychologistHobby: reading"
153,115,128,4,0.8,4,"Person Id: 115; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Social Science, Psychologist; Career: PsychologistHobby: reading"
154,116,122,5,1,4,"Person Id: 116; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Political Science/International Affairs; Career: UndecidedHobby: dining,museums,art,reading,tv,theater,movies,concerts,music,shopping"
155,116,125,5,1,4,"Person Id: 116; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Political Science/International Affairs; Career: UndecidedHobby: dining,museums,art,reading,tv,theater,movies,concerts,music,shopping"
156,116,127,5,0.7,4,"Person Id: 116; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Political Science/International Affairs; Career: UndecidedHobby: dining,museums,art,reading,tv,theater,movies,concerts,music,shopping"
157,116,129,5,0.7,4,"Person Id: 116; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Political Science/International Affairs; Career: UndecidedHobby: dining,museums,art,reading,tv,theater,movies,concerts,music,shopping"
158,117,125,2,1,4,Person Id: 117; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Business/Econ/Finance; Career: Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/AdminHobby: NA
159,119,125,6,0.7,5,"Person Id: 119; Gender: Female; Age: 19; Race: Latino/Hispanic American; Field of Study: Languages; Career: LawyerHobby: clubbing,theater,concerts,music"
